Año,Mes,Estación_Nominal,Estación_Ordinal,Periodo,Fecha,Provincia,Tipo alojamiento,Subtipo alojamiento,Viajeros,Viajeros españoles,Viajeros extranjeros,Pernoctaciones,Pernoctaciones españoles,Pernoctaciones extranjeros,Grado ocupación,Estancia media,provincia_abreviado,Estancia media españoles,Estancia media extranjeros
2019,Enero,,Otro,Mensual,2019-01,León,Hoteles,,,,,,,,,,,,
2019,Enero,,Otro,Mensual,2019-01,Segovia,Hoteles,,,,,,,,,,,,
2019,Enero,,Otro,Mensual,2019-01,Soria,Hoteles,,,,,,,,,,,,
2019,Enero,,Otro,Mensual,2019-01,Zamora,Hoteles,,,,,,,,,,,,
2019,Enero,,Otro,Mensual,2019-01,Soria,Hoteles,,,,,,,,,,,,
2019,Enero,,Otro,Mensual,2019-01,Valladolid,Hoteles,,,,,,,,,,,,
2019,Enero,,Otro,Mensual,2019-01,Zamora,Hoteles,,,,,,,,,,,,
2016,Mayo,Primavera,1,Mensual,2016-05,Ávila,Camping,Camping,2177,2048,129,4507,4118,389,2.6,2.07,AV,2.01,0.03
2016,Mayo,Primavera,1,Mensual,2016-05,Ávila,Todos alojamientos,Todos,56108,44230,11878,92166,73814,18352,16.93,1.64,AV,1.67,6.21
2016,Mayo,Primavera,1,Mensual,2016-05,Ávila,Turismo rural,Turismo rural,12932,12414,518,25167,24386,781,12.9,1.95,AV,1.96,0.05
2016,Mayo,Primavera,1,Mensual,2016-05,Burgos,Camping,Camping,6028,1420,4608,10774,3751,7023,6.36,1.79,BU,2.64,0.81
2016,Mayo,Primavera,1,Mensual,2016-05,Burgos,Todos alojamientos,Todos,128671,73960,54711,188614,114163,74451,28.31,1.47,BU,1.54,2.09
2016,Mayo,Primavera,1,Mensual,2016-05,Burgos,Turismo rural,Turismo rural,12609,8261,4348,20538,14970,5568,15.39,1.63,BU,1.81,3.44
2016,Mayo,Primavera,1,Mensual,2016-05,León,Camping,Camping,2469,1125,1344,6628,4849,1779,4.51,2.68,LE,4.31,3.61
2016,Mayo,Primavera,1,Mensual,2016-05,León,Todos alojamientos,Todos,112761,72554,40207,174096,121220,52876,24.57,1.54,LE,1.67,3.01
2016,Mayo,Primavera,1,Mensual,2016-05,León,Turismo rural,Turismo rural,11721,8579,3142,19646,15695,3951,13.76,1.68,LE,1.83,5.00
2016,Mayo,Primavera,1,Mensual,2016-05,Palencia,Camping,Camping,264,210,54,693,600,93,1.66,2.63,PA,2.86,11.11
2016,Mayo,Primavera,1,Mensual,2016-05,Palencia,Todos alojamientos,Todos,35390,24753,10637,56292,42864,13428,25.17,1.59,PA,1.73,4.03
2016,Mayo,Primavera,1,Mensual,2016-05,Palencia,Turismo rural,Turismo rural,4686,4139,547,8120,7408,712,13.01,1.73,PA,1.79,0.01
2016,Mayo,Primavera,1,Mensual,2016-05,Salamanca,Camping,Camping,5718,1081,4637,9084,2639,6445,5.98,1.59,SA,2.44,0.57
2016,Mayo,Primavera,1,Mensual,2016-05,Salamanca,Todos alojamientos,Todos,113468,73169,40299,197486,140531,56955,29.83,1.74,SA,1.92,3.49
2016,Mayo,Primavera,1,Mensual,2016-05,Salamanca,Turismo rural,Turismo rural,9592,8669,923,17355,15990,1365,13.25,1.81,SA,1.84,0.02
2016,Mayo,Primavera,1,Mensual,2016-05,Segovia,Camping,Camping,1574,721,853,2664,1293,1371,4.68,1.69,SE,0.00,0.00
2019,Febrero,,Otro,Mensual,2019-02,Ávila,Hoteles,,,,,,,,,,,,
2019,Febrero,,Otro,Mensual,2019-02,Salamanca,Hoteles,,,,,,,,,,,,
2019,Febrero,,Otro,Mensual,2019-02,Segovia,Hoteles,,,,,,,,,,,,
2019,Febrero,,Otro,Mensual,2019-02,Soria,Hoteles,,,,,,,,,,,,
2019,Febrero,,Otro,Mensual,2019-02,Valladolid,Hoteles,,,,,,,,,,,,
2019,Febrero,,Otro,Mensual,2019-02,Palencia,Hoteles,,,,,,,,,,,,
2019,Febrero,,Otro,Mensual,2019-02,Soria,Hoteles,,,,,,,,,,,,
2016,Mayo,Primavera,1,Mensual,2016-05,Segovia,Todos alojamientos,Todos,63168,49578,13590,99290,76543,22747,25.88,1.57,SE,1.54,5.63
2016,Mayo,Primavera,1,Mensual,2016-05,Segovia,Turismo rural,Turismo rural,12055,11332,723,21062,19861,1201,16.86,1.75,SE,1.75,0.03
2016,Mayo,Primavera,1,Mensual,2016-05,Soria,Camping,Camping,1005,829,176,4822,4450,372,5.05,4.8,SO,0.01,0.03
2016,Mayo,Primavera,1,Mensual,2016-05,Soria,Todos alojamientos,Todos,33118,30361,2757,58181,53592,4589,17.38,1.76,SO,1.77,19.44
2016,Mayo,Primavera,1,Mensual,2016-05,Soria,Turismo rural,Turismo rural,7657,7444,213,14693,14208,485,14.33,1.92,SO,1.91,0.07
