Año,Mes,Estación_Nominal,Estación_Ordinal,Periodo,Fecha,Provincia,Tipo alojamiento,Subtipo alojamiento,Viajeros,Viajeros españoles,Viajeros extranjeros,Pernoctaciones,Pernoctaciones españoles,Pernoctaciones extranjeros,Grado ocupación,Estancia media,provincia_abreviado,Estancia media españoles,Estancia media extranjeros
2000,Enero,Invierno,4,Mensual,2000-01,Ávila,Camping,Camping,400,400,0,1504,1504,0,1.44,3.76,AV,0.00,
2000,Enero,Invierno,4,Mensual,2000-01,Ávila,Todos alojamientos,Todos,17208,15364,1845,27424,25350,2074,11.15,1.59,AV,1.65,13.74
2000,Enero,Invierno,4,Mensual,2000-01,Ávila,Turismo rural,Turismo rural,1465,1397,68,2951,2826,125,16.13,2.01,AV,2.02,0.04
2000,Enero,Invierno,4,Mensual,2000-01,Burgos,Camping,Camping,649,347,302,1227,852,374,1.04,1.89,BU,2.46,2.82
2000,Enero,Invierno,4,Mensual,2000-01,Burgos,Todos alojamientos,Todos,37930,30482,7448,56423,46490,9933,15.28,1.49,BU,1.53,6.24
2000,Enero,Invierno,4,Mensual,2000-01,Burgos,Turismo rural,Turismo rural,837,724,113,1403,1252,151,6.07,1.68,BU,0.00,0.01
2000,Enero,Invierno,4,Mensual,2000-01,León,Camping,Camping,607,579,28,1988,1856,132,7.1,3.28,LE,0.00,0.07
2000,Enero,Invierno,4,Mensual,2000-01,León,Todos alojamientos,Todos,33291,31424,1867,54556,50006,4550,16.4,1.64,LE,1.59,26.78
2000,Enero,Invierno,4,Mensual,2000-01,León,Turismo rural,Turismo rural,1230,1218,12,2058,2043,15,6.95,1.67,LE,1.68,0.17
2000,Enero,Invierno,4,Mensual,2000-01,Palencia,Camping,Camping,10,7,3,10,7,3,0.03,1,PA,1.00,2.33
2000,Enero,Invierno,4,Mensual,2000-01,Palencia,Todos alojamientos,Todos,11360,10558,802,24036,22745,1292,15.65,2.12,PA,2.15,0.03
2018,Abril,,Otro,Mensual,2018-04,Palencia,Hoteles,,,,,,,,,,,,
2018,Abril,,Otro,Mensual,2018-04,Salamanca,Hoteles,,,,,,,,,,,,
2018,Abril,,Otro,Mensual,2018-04,Palencia,Hoteles,,,,,,,,,,,,
2018,Abril,,Otro,Mensual,2018-04,Soria,Hoteles,,,,,,,,,,,,
2018,Abril,,Otro,Mensual,2018-04,Valladolid,Hoteles,,,,,,,,,,,,
2000,Enero,Invierno,4,Mensual,2000-01,Palencia,Turismo rural,Turismo rural,1092,1083,9,2381,2369,12,12.49,2.18,PA,2.19,0.26
2000,Enero,Invierno,4,Mensual,2000-01,Salamanca,Camping,Camping,150,121,29,697,621,76,0.88,4.65,SA,5.13,21.41
2000,Enero,Invierno,4,Mensual,2000-01,Salamanca,Todos alojamientos,Todos,37638,30051,7587,64560,50282,14278,17.86,1.72,SA,1.67,6.63
2000,Enero,Invierno,4,Mensual,2000-01,Salamanca,Turismo rural,Turismo rural,789,773,16,1568,1535,33,7.27,1.99,SA,0.00,0.10
2000,Enero,Invierno,4,Mensual,2000-01,Segovia,Camping,Camping,0,0,0,0,0,0,0,0,SE,,
2000,Enero,Invierno,4,Mensual,2000-01,Segovia,Todos alojamientos,Todos,17226,15828,1397,28814,27296,1518,22.05,1.67,SE,1.72,19.54
2000,Enero,Invierno,4,Mensual,2000-01,Segovia,Turismo rural,Turismo rural,864,857,7,1398,1387,11,11.03,1.62,SE,0.00,0.20
2000,Enero,Invierno,4,Mensual,2000-01,Soria,Camping,Camping,0,0,0,0,0,0,0,0,SO,,
2000,Enero,Invierno,4,Mensual,2000-01,Soria,Todos alojamientos,Todos,11197,10637,561,17920,17229,691,16.65,1.6,SO,1.62,0.03
2000,Enero,Invierno,4,Mensual,2000-01,Soria,Turismo rural,Turismo rural,614,603,11,893,882,11,7.22,1.45,SO,1.46,80.18
2000,Enero,Invierno,4,Mensual,2000-01,Valladolid,Camping,Camping,13,13,0,363,363,0,1.39,27.95,VA,27.92,
2000,Enero,Invierno,4,Mensual,2000-01,Valladolid,Todos alojamientos,Todos,33297,27326,5971,50242,42012,8229,25.81,1.51,VA,1.54,7.04
2000,Enero,Invierno,4,Mensual,2000-01,Valladolid,Turismo rural,Turismo rural,110,110,0,237,237,0,4.15,2.15,VA,2.15,
2000,Enero,Invierno,4,Mensual,2000-01,Zamora,Camping,Camping,0,0,0,0,0,0,0,0,ZA,,
2018,Mayo,,Otro,Mensual,2018-05,Palencia,Hoteles,,,,,,,,,,,,
2018,Mayo,,Otro,Mensual,2018-05,Soria,Hoteles,,,,,,,,,,,,
2018,Mayo,,Otro,Mensual,2018-05,Zamora,Hoteles,,,,,,,,,,,,
2018,Mayo,,Otro,Mensual,2018-05,Burgos,Hoteles,,,,,,,,,,,,
2018,Mayo,,Otro,Mensual,2018-05,Salamanca,Hoteles,,,,,,,,,,,,
2018,Mayo,,Otro,Mensual,2018-05,Segovia,Hoteles,,,,,,,,,,,,
2000,Enero,Invierno,4,Mensual,2000-01,Zamora,Todos alojamientos,Todos,11172,10635,537,17451,16468,983,16,1.56,ZA,1.55,0.03
2000,Enero,Invierno,4,Mensual,2000-01,Zamora,Turismo rural,Turismo rural,112,108,4,209,201,8,3.58,1.86,ZA,1.86,50.25
2000,Febrero,Invierno,4,Mensual,2000-02,Ávila,Camping,Camping,918,918,0,1359,1359,0,2.28,1.48,AV,0.00,
2000,Febrero,Invierno,4,Mensual,2000-02,Ávila,Todos alojamientos,Todos,20558,18489,2069,31648,28878,2770,16.25,1.54,AV,1.56,13.96
2000,Febrero,Invierno,4,Mensual,2000-02,Ávila,Turismo rural,Turismo rural,2337,2334,3,3251,3246,5,19,1.39,AV,1.39,1.08
2000,Febrero,Invierno,4,Mensual,2000-02,Burgos,Camping,Camping,1525,726,799,1980,1161,819,2.07,1.3,BU,0.00,0.00
2000,Febrero,Invierno,4,Mensual,2000-02,Burgos,Todos alojamientos,Todos,43010,35066,7944,60000,49658,10342,18.1,1.4,BU,1.42,6.25
2000,Febrero,Invierno,4,Mensual,2000-02,Burgos,Turismo rural,Turismo rural,1041,970,71,1955,1835,121,8.97,1.88,BU,0.00,0.03
2000,Febrero,Invierno,4,Mensual,2000-02,León,Camping,Camping,802,757,46,1651,1559,92,6.3,2.06,LE,0.00,0.03
2000,Febrero,Invierno,4,Mensual,2000-02,León,Todos alojamientos,Todos,40514,38536,1978,65713,61081,4631,20.99,1.62,LE,1.59,30.88
2000,Febrero,Invierno,4,Mensual,2000-02,León,Turismo rural,Turismo rural,978,978,0,1622,1622,0,5.62,1.66,LE,0.00,
2000,Febrero,Invierno,4,Mensual,2000-02,Palencia,Camping,Camping,5,3,2,5,3,2,0.01,1,PA,1.00,1.50
2000,Febrero,Invierno,4,Mensual,2000-02,Palencia,Todos alojamientos,Todos,14129,13154,975,24535,23191,1344,17.01,1.74,PA,1.76,0.02
2000,Febrero,Invierno,4,Mensual,2000-02,Palencia,Turismo rural,Turismo rural,1325,1301,24,2198,2174,24,12.25,1.66,PA,1.67,0.09
2000,Febrero,Invierno,4,Mensual,2000-02,Salamanca,Camping,Camping,215,129,86,415,329,86,0.64,1.93,SA,2.55,3.83
2000,Febrero,Invierno,4,Mensual,2000-02,Salamanca,Todos alojamientos,Todos,55387,46813,8574,80452,69447,11005,24.37,1.45,SA,1.48,8.10
2000,Febrero,Invierno,4,Mensual,2000-02,Salamanca,Turismo rural,Turismo rural,1165,1026,138,1947,1714,233,9.22,1.67,SA,1.67,0.01
2000,Febrero,Invierno,4,Mensual,2000-02,Segovia,Camping,Camping,0,0,0,0,0,0,0,0,SE,,
2000,Febrero,Invierno,4,Mensual,2000-02,Segovia,Todos alojamientos,Todos,23773,18921,4852,33800,28548,5252,27.37,1.42,SE,1.51,5.88
2000,Febrero,Invierno,4,Mensual,2000-02,Segovia,Turismo rural,Turismo rural,1565,1541,24,2341,2303,38,17.9,1.5,SE,1.49,0.10
2018,Junio,,Otro,Mensual,2018-06,Ávila,Hoteles,,,,,,,,,,,,
2018,Junio,,Otro,Mensual,2018-06,Palencia,Hoteles,,,,,,,,,,,,
2018,Junio,,Otro,Mensual,2018-06,Segovia,Hoteles,,,,,,,,,,,,
2018,Junio,,Otro,Mensual,2018-06,Salamanca,Hoteles,,,,,,,,,,,,
2018,Junio,,Otro,Mensual,2018-06,Segovia,Hoteles,,,,,,,,,,,,
2018,Junio,,Otro,Mensual,2018-06,Soria,Hoteles,,,,,,,,,,,,
2000,Febrero,Invierno,4,Mensual,2000-02,Soria,Camping,Camping,0,0,0,0,0,0,0,0,SO,,
2000,Febrero,Invierno,4,Mensual,2000-02,Soria,Todos alojamientos,Todos,15413,14643,769,25943,24955,988,25.77,1.68,SO,1.70,0.03
2000,Febrero,Invierno,4,Mensual,2000-02,Soria,Turismo rural,Turismo rural,867,865,1,1247,1246,1,10.78,1.44,SO,0.00,1.25
2000,Febrero,Invierno,4,Mensual,2000-02,Valladolid,Camping,Camping,74,66,8,206,198,8,1.2,2.78,VA,3.00,24.75
2000,Febrero,Invierno,4,Mensual,2000-02,Valladolid,Todos alojamientos,Todos,38289,32602,5687,61796,53907,7889,34.46,1.61,VA,1.65,9.48
2000,Febrero,Invierno,4,Mensual,2000-02,Valladolid,Turismo rural,Turismo rural,148,140,8,207,198,8,3.87,1.4,VA,1.41,24.75
2000,Febrero,Invierno,4,Mensual,2000-02,Zamora,Camping,Camping,0,0,0,0,0,0,0,0,ZA,,
2000,Febrero,Invierno,4,Mensual,2000-02,Zamora,Todos alojamientos,Todos,10496,9571,925,19983,18679,1304,19.59,1.9,ZA,1.95,0.02
2000,Febrero,Invierno,4,Mensual,2000-02,Zamora,Turismo rural,Turismo rural,339,339,0,556,556,0,10.19,1.64,ZA,1.64,
2000,Marzo,Primavera,1,Mensual,2000-03,Ávila,Camping,Camping,949,948,1,1562,1560,2,1.98,1.65,AV,0.00,1.56
2000,Marzo,Primavera,1,Mensual,2000-03,Ávila,Todos alojamientos,Todos,24550,21395,3155,38211,33836,4375,17.04,1.56,AV,1.58,10.72
2000,Marzo,Primavera,1,Mensual,2000-03,Ávila,Turismo rural,Turismo rural,1977,1866,111,3371,3198,173,17.86,1.71,AV,1.71,0.03
2000,Marzo,Primavera,1,Mensual,2000-03,Burgos,Camping,Camping,1575,554,1021,2871,769,2101,2.81,1.82,BU,1.39,753.18
2000,Marzo,Primavera,1,Mensual,2000-03,Burgos,Todos alojamientos,Todos,46148,36902,9245,65433,51276,14157,18.52,1.42,BU,1.39,5.55
2000,Marzo,Primavera,1,Mensual,2000-03,Burgos,Turismo rural,Turismo rural,1490,1273,218,2410,2148,262,10.34,1.62,BU,1.69,0.01
2018,Julio,,Otro,Mensual,2018-07,Burgos,Hoteles,,,,,,,,,,,,
2018,Julio,,Otro,Mensual,2018-07,Palencia,Hoteles,,,,,,,,,,,,
2018,Julio,,Otro,Mensual,2018-07,Segovia,Hoteles,,,,,,,,,,,,
2000,Marzo,Primavera,1,Mensual,2000-03,León,Camping,Camping,838,838,0,1663,1663,0,5.88,1.98,LE,0.00,
2000,Marzo,Primavera,1,Mensual,2000-03,León,Todos alojamientos,Todos,48813,42331,6482,77576,69472,8104,22.97,1.59,LE,1.64,10.72
2000,Marzo,Primavera,1,Mensual,2000-03,León,Turismo rural,Turismo rural,1985,1902,83,2760,2631,130,8.48,1.39,LE,1.38,0.03
2000,Marzo,Primavera,1,Mensual,2000-03,Palencia,Camping,Camping,118,106,12,228,206,22,0.62,1.93,PA,1.94,17.17
2000,Marzo,Primavera,1,Mensual,2000-03,Palencia,Todos alojamientos,Todos,16257,15226,1031,28267,26837,1429,18.33,1.74,PA,1.76,26.03
2000,Marzo,Primavera,1,Mensual,2000-03,Palencia,Turismo rural,Turismo rural,1791,1753,37,3163,3109,55,16.41,1.77,PA,1.77,0.08
2000,Marzo,Primavera,1,Mensual,2000-03,Salamanca,Camping,Camping,400,142,258,588,308,279,0.75,1.47,SA,2.17,1.19
2000,Marzo,Primavera,1,Mensual,2000-03,Salamanca,Todos alojamientos,Todos,67969,54350,13619,117845,99342,18504,32.5,1.73,SA,1.83,7.29
2000,Marzo,Primavera,1,Mensual,2000-03,Salamanca,Turismo rural,Turismo rural,1696,1630,66,2991,2922,70,12.88,1.76,SA,1.79,0.04
2000,Marzo,Primavera,1,Mensual,2000-03,Segovia,Camping,Camping,0,0,0,0,0,0,0,0,SE,,
2000,Marzo,Primavera,1,Mensual,2000-03,Segovia,Todos alojamientos,Todos,24276,19146,5130,41336,33427,7909,31.13,1.7,SE,1.75,6.52
2000,Marzo,Primavera,1,Mensual,2000-03,Segovia,Turismo rural,Turismo rural,1305,1190,114,2046,1846,200,14.47,1.57,SE,1.55,0.02
2000,Marzo,Primavera,1,Mensual,2000-03,Soria,Camping,Camping,0,0,0,0,0,0,0,0,SO,,
2000,Marzo,Primavera,1,Mensual,2000-03,Soria,Todos alojamientos,Todos,18603,17011,1592,26919,24914,2005,24.6,1.45,SO,1.46,15.65
2000,Marzo,Primavera,1,Mensual,2000-03,Soria,Turismo rural,Turismo rural,1769,1761,7,2352,2345,7,18.55,1.33,SO,1.33,0.34
2000,Marzo,Primavera,1,Mensual,2000-03,Valladolid,Camping,Camping,813,435,378,1204,824,380,6.54,1.48,VA,1.89,2.18
2000,Marzo,Primavera,1,Mensual,2000-03,Valladolid,Todos alojamientos,Todos,46937,38524,8413,72637,60444,12194,37.17,1.55,VA,1.57,7.18
2000,Marzo,Primavera,1,Mensual,2000-03,Valladolid,Turismo rural,Turismo rural,328,322,6,439,433,6,6.56,1.34,VA,1.34,72.17
2000,Marzo,Primavera,1,Mensual,2000-03,Zamora,Camping,Camping,0,0,0,0,0,0,0,0,ZA,,
2018,Agosto,,Otro,Mensual,2018-08,Ávila,Hoteles,,,,,,,,,,,,
2018,Agosto,,Otro,Mensual,2018-08,León,Hoteles,,,,,,,,,,,,
2018,Agosto,,Otro,Mensual,2018-08,Palencia,Hoteles,,,,,,,,,,,,
2018,Agosto,,Otro,Mensual,2018-08,Salamanca,Hoteles,,,,,,,,,,,,
2018,Agosto,,Otro,Mensual,2018-08,Soria,Hoteles,,,,,,,,,,,,
2018,Agosto,,Otro,Mensual,2018-08,Valladolid,Hoteles,,,,,,,,,,,,
2018,Agosto,,Otro,Mensual,2018-08,Zamora,Hoteles,,,,,,,,,,,,
2018,Agosto,,Otro,Mensual,2018-08,Palencia,Hoteles,,,,,,,,,,,,
2018,Agosto,,Otro,Mensual,2018-08,Segovia,Hoteles,,,,,,,,,,,,
2018,Agosto,,Otro,Mensual,2018-08,Valladolid,Hoteles,,,,,,,,,,,,
2000,Marzo,Primavera,1,Mensual,2000-03,Zamora,Todos alojamientos,Todos,17642,16420,1222,25777,24394,1384,23.37,1.46,ZA,1.49,19.96
2000,Marzo,Primavera,1,Mensual,2000-03,Zamora,Turismo rural,Turismo rural,915,788,127,1522,1347,175,21.53,1.66,ZA,0.00,0.01
2000,Abril,Otro,1,Mensual,2000-04,Ávila,Camping,Camping,4179,3783,395,10892,10374,517,6.41,2.61,AV,2.74,0.03
2000,Abril,Otro,1,Mensual,2000-04,Ávila,Todos alojamientos,Todos,43783,38166,5617,68648,61288,7360,22.16,1.57,AV,1.61,10.91
2000,Abril,Otro,1,Mensual,2000-04,Ávila,Turismo rural,Turismo rural,2425,2401,24,6565,6391,174,33.26,2.71,AV,2.66,0.27
2000,Abril,Otro,1,Mensual,2000-04,Burgos,Camping,Camping,9146,6781,2365,21872,18442,3430,13.9,2.39,BU,2.72,7.80
2000,Abril,Otro,1,Mensual,2000-04,Burgos,Todos alojamientos,Todos,71432,52448,18984,120232,96374,23858,29.87,1.68,BU,1.84,5.08
2000,Abril,Otro,1,Mensual,2000-04,Burgos,Turismo rural,Turismo rural,2043,2004,39,5242,5180,61,22.93,2.57,BU,2.58,0.13
2000,Abril,Otro,1,Mensual,2000-04,León,Camping,Camping,2347,2334,13,4591,4577,13,7.77,1.96,LE,1.96,0.35
2000,Abril,Otro,1,Mensual,2000-04,León,Todos alojamientos,Todos,65214,56664,8550,103260,91772,11488,29.53,1.58,LE,1.62,10.73
2000,Abril,Otro,1,Mensual,2000-04,León,Turismo rural,Turismo rural,3400,3371,28,6942,6878,63,21.95,2.04,LE,2.04,0.25
2000,Abril,Otro,1,Mensual,2000-04,Palencia,Camping,Camping,462,343,119,917,798,119,2.09,1.99,PA,2.33,6.71
2000,Abril,Otro,1,Mensual,2000-04,Palencia,Todos alojamientos,Todos,23627,21362,2265,40504,37727,2776,25.63,1.71,PA,1.77,16.66
2000,Abril,Otro,1,Mensual,2000-04,Palencia,Turismo rural,Turismo rural,2577,2471,106,5726,5601,126,29.87,2.22,PA,2.27,0.05
2000,Abril,Otro,1,Mensual,2000-04,Salamanca,Camping,Camping,2467,2111,356,5938,5450,488,4.44,2.41,SA,2.58,0.02
2000,Abril,Otro,1,Mensual,2000-04,Salamanca,Todos alojamientos,Todos,75107,63530,11578,134918,114125,20793,32.89,1.8,SA,1.80,9.86
2000,Abril,Otro,1,Mensual,2000-04,Salamanca,Turismo rural,Turismo rural,2001,1969,32,4806,4738,68,20.75,2.4,SA,2.41,0.15
2000,Abril,Otro,1,Mensual,2000-04,Segovia,Camping,Camping,684,684,0,2052,2052,0,5.22,3,SE,0.00,
2000,Abril,Otro,1,Mensual,2000-04,Segovia,Todos alojamientos,Todos,42315,34471,7844,60920,51132,9788,36.19,1.44,SE,1.48,6.52
2018,Septiembre,,Otro,Mensual,2018-09,Palencia,Hoteles,,,,,,,,,,,,
2018,Septiembre,,Otro,Mensual,2018-09,Soria,Hoteles,,,,,,,,,,,,
2018,Septiembre,,Otro,Mensual,2018-09,Ávila,Hoteles,,,,,,,,,,,,
2018,Septiembre,,Otro,Mensual,2018-09,Soria,Hoteles,,,,,,,,,,,,
2000,Abril,Otro,1,Mensual,2000-04,Segovia,Turismo rural,Turismo rural,1852,1784,67,4426,4355,72,31.53,2.39,SE,2.44,0.07
2000,Abril,Otro,1,Mensual,2000-04,Soria,Camping,Camping,6146,6107,39,12346,12292,54,12.28,2.01,SO,2.01,0.32
2000,Abril,Otro,1,Mensual,2000-04,Soria,Todos alojamientos,Todos,31712,30150,1563,52667,50960,1707,26.47,1.66,SO,1.69,32.60
2000,Abril,Otro,1,Mensual,2000-04,Soria,Turismo rural,Turismo rural,2176,2150,26,3965,3929,36,32.32,1.82,SO,1.83,0.15
2000,Abril,Otro,1,Mensual,2000-04,Valladolid,Camping,Camping,1494,965,528,2806,2272,534,8.43,1.88,VA,0.00,0.00
2000,Abril,Otro,1,Mensual,2000-04,Valladolid,Todos alojamientos,Todos,50700,40779,9921,76649,63649,13000,37.43,1.51,VA,1.56,6.42
2000,Abril,Otro,1,Mensual,2000-04,Valladolid,Turismo rural,Turismo rural,521,516,5,1106,1026,81,17.4,2.12,VA,0.00,0.21
2000,Abril,Otro,1,Mensual,2000-04,Zamora,Camping,Camping,508,467,41,649,608,41,0.93,1.28,ZA,1.30,14.83
2000,Abril,Otro,1,Mensual,2000-04,Zamora,Todos alojamientos,Todos,20919,18997,1922,31255,28690,2564,18.3,1.49,ZA,1.51,14.93
2000,Abril,Otro,1,Mensual,2000-04,Zamora,Turismo rural,Turismo rural,656,651,5,1484,1475,9,20.96,2.26,ZA,0.00,0.30
2000,Mayo,Primavera,1,Mensual,2000-05,Ávila,Camping,Camping,2716,2632,84,5459,5292,167,2.98,2.01,AV,2.01,0.06
2018,Octubre,,Otro,Mensual,2018-10,Salamanca,Hoteles,,,,,,,,,,,,
2018,Octubre,,Otro,Mensual,2018-10,Soria,Hoteles,,,,,,,,,,,,
2018,Octubre,,Otro,Mensual,2018-10,Zamora,Hoteles,,,,,,,,,,,,
2018,Octubre,,Otro,Mensual,2018-10,Ávila,Hoteles,,,,,,,,,,,,
2018,Octubre,,Otro,Mensual,2018-10,León,Hoteles,,,,,,,,,,,,
2018,Octubre,,Otro,Mensual,2018-10,Salamanca,Hoteles,,,,,,,,,,,,
2018,Octubre,,Otro,Mensual,2018-10,Valladolid,Hoteles,,,,,,,,,,,,
2000,Mayo,Primavera,1,Mensual,2000-05,Ávila,Todos alojamientos,Todos,40535,30376,10158,63172,50307,12865,19.02,1.56,AV,1.66,4.95
2000,Mayo,Primavera,1,Mensual,2000-05,Ávila,Turismo rural,Turismo rural,2585,2372,212,5331,4936,395,22.87,2.06,AV,2.08,0.02
2000,Mayo,Primavera,1,Mensual,2000-05,Burgos,Camping,Camping,3629,684,2945,4597,1332,3265,3.27,1.27,BU,0.00,0.45
2000,Mayo,Primavera,1,Mensual,2000-05,Burgos,Todos alojamientos,Todos,65498,41842,23656,98906,70220,28686,25.04,1.51,BU,1.68,2.97
2000,Mayo,Primavera,1,Mensual,2000-05,Burgos,Turismo rural,Turismo rural,1947,1617,329,3369,2796,574,13.6,1.73,BU,1.73,0.01
2000,Mayo,Primavera,1,Mensual,2000-05,León,Camping,Camping,656,453,203,1036,676,360,1.51,1.58,LE,1.49,3.33
2000,Mayo,Primavera,1,Mensual,2000-05,León,Todos alojamientos,Todos,65021,48840,16181,93778,73223,20555,24.44,1.44,LE,1.50,4.53
2000,Mayo,Primavera,1,Mensual,2000-05,León,Turismo rural,Turismo rural,2368,2236,132,4081,3845,236,11.68,1.72,LE,1.72,0.03
2000,Mayo,Primavera,1,Mensual,2000-05,Palencia,Camping,Camping,229,130,99,315,183,133,0.7,1.37,PA,1.41,1.85
2000,Mayo,Primavera,1,Mensual,2000-05,Palencia,Todos alojamientos,Todos,27467,21267,6200,42609,33744,8865,25.85,1.55,PA,1.59,5.44
2000,Mayo,Primavera,1,Mensual,2000-05,Palencia,Turismo rural,Turismo rural,2190,1911,279,3766,3472,294,18.27,1.72,PA,1.82,0.01
2000,Mayo,Primavera,1,Mensual,2000-05,Salamanca,Camping,Camping,2494,435,2059,3317,1008,2309,2.2,1.33,SA,0.00,0.49
2000,Mayo,Primavera,1,Mensual,2000-05,Salamanca,Todos alojamientos,Todos,69657,53006,16650,119554,98344,21210,27.37,1.72,SA,1.86,5.91
2000,Mayo,Primavera,1,Mensual,2000-05,Salamanca,Turismo rural,Turismo rural,2097,1940,157,4100,3679,421,17.02,1.96,SA,1.90,0.02
2000,Mayo,Primavera,1,Mensual,2000-05,Segovia,Camping,Camping,202,155,48,583,441,141,2.03,2.88,SE,2.85,9.19
2000,Mayo,Primavera,1,Mensual,2000-05,Segovia,Todos alojamientos,Todos,35941,27799,8142,55876,42596,13281,34.46,1.55,SE,1.53,5.23
2000,Mayo,Primavera,1,Mensual,2000-05,Segovia,Turismo rural,Turismo rural,1245,1047,198,2680,2311,368,18.31,2.15,SE,2.21,0.01
2000,Mayo,Primavera,1,Mensual,2000-05,Soria,Camping,Camping,1308,1135,173,2950,2604,346,3.23,2.26,SO,2.29,0.02
2018,Noviembre,,Otro,Mensual,2018-11,Burgos,Hoteles,,,,,,,,,,,,
2018,Noviembre,,Otro,Mensual,2018-11,Salamanca,Hoteles,,,,,,,,,,,,
2018,Noviembre,,Otro,Mensual,2018-11,Soria,Hoteles,,,,,,,,,,,,
2018,Noviembre,,Otro,Mensual,2018-11,Zamora,Hoteles,,,,,,,,,,,,
2018,Noviembre,,Otro,Mensual,2018-11,Ávila,Hoteles,,,,,,,,,,,,
2000,Mayo,Primavera,1,Mensual,2000-05,Soria,Todos alojamientos,Todos,20426,18187,2240,34855,32012,2843,17.43,1.71,SO,1.76,14.29
2000,Mayo,Primavera,1,Mensual,2000-05,Soria,Turismo rural,Turismo rural,1341,1325,16,2543,2517,27,19.68,1.9,SO,1.90,0.16
2000,Mayo,Primavera,1,Mensual,2000-05,Valladolid,Camping,Camping,2318,549,1769,3581,1241,2340,10.42,1.54,VA,0.00,0.70
2000,Mayo,Primavera,1,Mensual,2000-05,Valladolid,Todos alojamientos,Todos,57601,45620,11981,85033,69424,15608,40.14,1.48,VA,1.52,5.79
2000,Mayo,Primavera,1,Mensual,2000-05,Valladolid,Turismo rural,Turismo rural,347,330,17,667,650,17,10.44,1.92,VA,1.97,38.24
2000,Mayo,Primavera,1,Mensual,2000-05,Zamora,Camping,Camping,1146,573,573,6878,3439,3439,8.96,6,ZA,0.01,0.01
2000,Mayo,Primavera,1,Mensual,2000-05,Zamora,Todos alojamientos,Todos,19331,16045,3286,37402,30163,7240,20.06,1.93,ZA,1.88,9.18
2000,Mayo,Primavera,1,Mensual,2000-05,Zamora,Turismo rural,Turismo rural,403,323,80,866,571,294,11.59,2.15,ZA,1.77,7.14
2000,Junio,Verano,2,Mensual,2000-06,Ávila,Camping,Camping,3824,3597,227,8523,7894,629,4.5,2.23,AV,2.19,0.03
2000,Junio,Verano,2,Mensual,2000-06,Ávila,Todos alojamientos,Todos,39828,32769,7059,60050,50690,9360,17.97,1.51,AV,1.55,7.18
2000,Junio,Verano,2,Mensual,2000-06,Ávila,Turismo rural,Turismo rural,1751,1711,40,3601,3372,229,15.65,2.06,AV,1.97,0.08
2000,Junio,Verano,2,Mensual,2000-06,Burgos,Camping,Camping,6693,1782,4911,15260,9701,5560,7.59,2.28,BU,5.44,1.98
2000,Junio,Verano,2,Mensual,2000-06,Burgos,Todos alojamientos,Todos,71116,48316,22800,104793,78184,26610,23.42,1.47,BU,1.62,3.43
2000,Junio,Verano,2,Mensual,2000-06,Burgos,Turismo rural,Turismo rural,1810,1773,37,3230,3179,51,13.44,1.78,BU,1.79,0.09
2000,Junio,Verano,2,Mensual,2000-06,León,Camping,Camping,1869,1297,572,5189,4167,1022,2.42,2.78,LE,3.21,0.01
2000,Junio,Verano,2,Mensual,2000-06,León,Todos alojamientos,Todos,74753,58304,16449,110657,90891,19767,20.97,1.48,LE,1.56,5.53
2018,Diciembre,,Otro,Mensual,2018-12,Burgos,Hoteles,,,,,,,,,,,,
2018,Diciembre,,Otro,Mensual,2018-12,Palencia,Hoteles,,,,,,,,,,,,
2018,Diciembre,,Otro,Mensual,2018-12,Salamanca,Hoteles,,,,,,,,,,,,
2018,Diciembre,,Otro,Mensual,2018-12,León,Hoteles,,,,,,,,,,,,
2018,Diciembre,,Otro,Mensual,2018-12,Soria,Hoteles,,,,,,,,,,,,
2018,Diciembre,,Otro,Mensual,2018-12,Zamora,Hoteles,,,,,,,,,,,,
2000,Junio,Verano,2,Mensual,2000-06,León,Turismo rural,Turismo rural,2678,2480,198,4509,4209,300,13.17,1.68,LE,1.70,0.02
2000,Junio,Verano,2,Mensual,2000-06,Palencia,Camping,Camping,239,142,97,380,217,163,1.48,1.59,PA,1.53,2.24
2000,Junio,Verano,2,Mensual,2000-06,Palencia,Todos alojamientos,Todos,22245,17894,4350,40041,34066,5975,28.1,1.8,PA,1.90,7.83
2000,Junio,Verano,2,Mensual,2000-06,Palencia,Turismo rural,Turismo rural,2153,1897,256,4238,3899,339,20.53,1.97,PA,2.06,0.02
2000,Junio,Verano,2,Mensual,2000-06,Salamanca,Camping,Camping,3444,2386,1058,7078,5846,1232,3.93,2.06,SA,2.45,5.53
2000,Junio,Verano,2,Mensual,2000-06,Salamanca,Todos alojamientos,Todos,67521,49218,18303,125689,100287,25402,27.34,1.86,SA,2.04,5.48
2000,Junio,Verano,2,Mensual,2000-06,Salamanca,Turismo rural,Turismo rural,1250,1219,31,2462,2216,246,9.79,1.97,SA,1.82,0.07
2000,Junio,Verano,2,Mensual,2000-06,Segovia,Camping,Camping,384,155,228,1596,312,1284,3.75,4.16,SE,2.01,1.37
2000,Junio,Verano,2,Mensual,2000-06,Segovia,Todos alojamientos,Todos,34376,29270,5106,53587,44090,9497,31.16,1.56,SE,1.51,8.63
2000,Junio,Verano,2,Mensual,2000-06,Segovia,Turismo rural,Turismo rural,1099,1068,32,1776,1714,62,12.28,1.62,SE,1.60,0.05
